turn,label_probe_L32,label_probe_L50
0,-17.625202178955078,21.281055450439453
1,-15.125435829162598,21.31976890563965
2,-19.633325576782227,11.830284118652344
3,-9.408763885498047,34.14686584472656
4,-20.21942901611328,12.439757347106934
5,-3.550090789794922,41.70835494995117
6,-16.983139038085938,21.098363876342773
7,-20.183609008789062,11.823525428771973
8,-13.202081680297852,26.733863830566406
9,-21.0794620513916,7.418309211730957
10,-19.07100486755371,16.55943489074707
11,-19.51259422302246,15.040288925170898
12,-14.826087951660156,26.838638305664062
13,-19.000120162963867,14.86733627319336
14,-13.961265563964844,24.846139907836914
