run,condition,layer,turn,projection,proj_norm
scenario_09_aa_feed_run00,aa_feed,32,0,-28.359699249267575,-8.123731231689451
scenario_09_aa_feed_run00,aa_feed,32,1,-19.20931434631348,1.0266536712646435
scenario_09_aa_feed_run00,aa_feed,32,2,-23.63200569152832,-3.3960376739501967
scenario_09_aa_feed_run00,aa_feed,32,3,-11.43833351135254,8.797634506225583
scenario_09_aa_feed_run00,aa_feed,32,4,-18.54048728942871,1.6954807281494126
scenario_09_aa_feed_run00,aa_feed,32,5,-19.96129035949707,0.27467765808105327
scenario_09_aa_feed_run00,aa_feed,32,6,-19.63802528381348,0.5979427337646435
scenario_09_aa_feed_run00,aa_feed,32,7,-21.174755096435547,-0.9387870788574233
scenario_09_aa_feed_run00,aa_feed,32,8,-16.685949325561523,3.5500186920166
scenario_09_aa_feed_run00,aa_feed,32,9,-14.995436668395996,5.2405313491821275
scenario_09_aa_feed_run00,aa_feed,32,10,-24.51475143432617,-4.278783416748045
scenario_09_aa_feed_run00,aa_feed,32,11,-29.37477302551269,-9.138805007934568
scenario_09_aa_feed_run00,aa_feed,32,12,-21.830224990844727,-1.594256973266603
scenario_09_aa_feed_run00,aa_feed,32,13,-15.79523754119873,4.440730476379393
scenario_09_aa_feed_run00,aa_feed,32,14,-15.461470603942873,4.774497413635251
scenario_09_aa_feed_run00,aa_feed,50,0,-9.123368263244627,-18.87291440963745
scenario_09_aa_feed_run00,aa_feed,50,1,17.8330020904541,8.08345594406128
scenario_09_aa_feed_run00,aa_feed,50,2,-2.8823742866516118,-12.631920433044433
scenario_09_aa_feed_run00,aa_feed,50,3,26.264137268066406,16.514591121673583
scenario_09_aa_feed_run00,aa_feed,50,4,16.656333923339844,6.906787776947022
scenario_09_aa_feed_run00,aa_feed,50,5,13.390560150146484,3.6410140037536625
scenario_09_aa_feed_run00,aa_feed,50,6,9.608219146728516,-0.14132699966430629
scenario_09_aa_feed_run00,aa_feed,50,7,10.806819915771484,1.0572737693786625
