condition,window,n_turns,n_trig,proportion
aa_feed,malicious_5_9,25,0,0.0
aa_feed,recovery_10_14,25,0,0.0
aa_feed,warmup_0_4,25,0,0.0
mb_0_feed,malicious_5_9,25,6,0.24
mb_0_feed,recovery_10_14,25,2,0.08
mb_0_feed,warmup_0_4,25,0,0.0
mb_1_feed,malicious_5_9,25,8,0.32
mb_1_feed,recovery_10_14,25,15,0.6
mb_1_feed,warmup_0_4,25,8,0.32
mb_2_feed,malicious_5_9,25,1,0.04
mb_2_feed,recovery_10_14,25,0,0.0
mb_2_feed,warmup_0_4,25,7,0.28
mb_3_feed,malicious_5_9,25,4,0.16
mb_3_feed,recovery_10_14,25,0,0.0
mb_3_feed,warmup_0_4,25,0,0.0
mb_4_feed,malicious_5_9,25,2,0.08
mb_4_feed,recovery_10_14,25,0,0.0
mb_4_feed,warmup_0_4,25,9,0.36
